2.08E-02	-2.82E-02	-1.59E-01	-8.33E-04	4.33E-04	2.70E-04
5.35E-03	-2.02E-02	-2.05E-01	-2.34E-03	-1.23E-03	-2.96E-04
4.25E-03	1.11E-02	7.45E-02	-3.50E-03	-5.30E-03	1.05E-03
-4.14E-02	-1.24E-03	-1.74E-01	-1.02E-04	-3.24E-04	1.17E-03
-2.44E-01	-4.18E-02	1.83E-01	7.42E-03	1.92E-03	-3.41E-04
-1.01E-01	1.65E-03	1.94E-01	1.13E-03	4.67E-03	-1.66E-03
5.65E-03	-5.96E-02	-3.84E-01	-3.35E-03	-2.74E-03	-1.25E-03
-1.96E-01	8.01E-02	1.69E-01	3.99E-03	-5.61E-03	-4.77E-04
1.08E-01	1.42E-01	6.05E-01	4.79E-04	3.89E-03	1.40E-04
1.30E-02	-1.12E-02	-4.87E-02	2.22E-03	-8.25E-04	-3.24E-04
-3.13E-02	-4.13E-01	-8.99E-01	-1.05E-02	1.63E-03	9.23E-03
9.97E-02	-1.82E-01	-8.39E-01	-1.24E-02	4.05E-03	5.14E-03
6.80E-02	-8.99E-02	-2.43E-01	1.11E-03	-1.42E-03	1.68E-04
-9.24E-02	-1.66E-02	-2.09E-01	-1.48E-03	-1.86E-03	1.54E-03
-4.69E-01	3.58E-02	-4.53E-01	-1.84E-03	-1.00E-02	-1.25E-02
-0.246017436	-0.022797124	-0.338350247	-0.001934303	-0.003135532	-0.004260116
-1.26E-02	-1.27E-02	-1.88E-01	-3.96E-04	1.66E-03	-1.45E-03
-2.17E-01	-3.80E-02	2.61E-02	-3.57E-03	9.98E-05	3.90E-03
1.98E-01	-1.94E-01	-2.56E-01	-1.42E-02	4.83E-04	-5.40E-03
-2.08E-01	5.74E-04	-1.20E-01	-7.67E-03	-2.29E-03	-2.24E-03
-1.08E-01	2.14E-01	3.20E-01	-3.37E-03	-2.71E-03	-2.70E-03
-1.49E-01	-2.01E-02	2.68E-02	2.20E-03	-6.25E-03	-2.91E-03
-6.73E-02	-1.83E-02	-2.50E-01	8.45E-04	-1.65E-03	-2.07E-03
-1.03E-02	2.59E-03	-3.40E-01	-8.88E-03	1.49E-03	4.73E-03
-3.64E-02	-3.17E-01	-2.77E-01	1.39E-02	3.13E-03	5.42E-03
2.85E-02	-5.61E-02	2.73E-01	3.69E-03	1.51E-03	5.53E-04
-7.03E-03	-1.67E-02	7.72E-03	1.27E-03	-2.94E-03	7.60E-04
