Subject,Condition,Guilt,Anger,Allocation,Pain,Attitude,Guilt_group,Anger_group,Prediction_error,abs_PE,PE_group,PE_group2,abs_PE_group,Pain_Attitude,Guilt_resi,Guilt_noAnger,Anger_resi,Anger_noGuilt,Index,Wager2015_expression
111,6,1,2,5,1,2,0,1,-1,1,0,0,0,2,-1.38477948,0.327264704,-0.609977688,2.242967156,48,5.70E-02
112,1,5,1,5,2,1,1,1,-0.5,0.5,0,0,0,2,2.244358679,4.040756746,-0.470560721,0.82512536,49,-1.16E-03
112,2,3,1,6.5,2,3,1,1,6.5,6.5,1,1,1,6,0.244358679,2.040756746,-0.718670741,0.57701534,50,-2.91E-02
112,3,2,1,4,2,2,0,0,3,3,1,1,1,4,-0.755641321,1.040756746,-0.842725751,0.452960329,51,-1.37E-02
112,4,1,3,4.5,1,1,0,1,-2.5,2.5,0,0,0,1,-1.08846341,0.707934656,1.033219238,2.328905319,52,7.98E-03
112,5,2,1,6,1,3,1,0,4.5,4.5,1,1,1,3,-0.755641321,1.040756746,-0.842725751,0.452960329,53,-1.36E-02
112,6,1,1,5.75,1,2,0,0,1,1,0,1,0,2,-1.755641321,0.040756746,-0.966780762,0.328905319,54,-4.97E-02
113,1,4,4,6.5,2,1,0,1,0.5,0.5,1,1,0,2,0.224652466,7.286448002,1.949968898,6.23932698,55,2.23E-02
113,2,7,1,5.5,2,3,1,1,7.5,7.5,1,1,1,6,1.764716359,8.826511894,0.103199401,4.392557483,56,4.30E-02
113,3,5,1,5.5,2,2,0,0,4,4,1,1,1,4,-0.235283641,6.826511894,-0.665620935,3.623737148,57,3.24E-02
113,4,2,4,3,1,1,0,1,-7.5,7.5,0,0,1,1,-1.775347534,5.286448002,1.181148563,5.470506645,58,2.97E-02
113,5,6,1,6,1,3,1,0,-0.5,0.5,0,0,0,3,0.764716359,7.826511894,-0.281210767,4.008147315,59,3.38E-02
113,6,6,1,4.25,1,2,1,0,-4,4,0,0,0,2,0.764716359,7.826511894,-0.281210767,4.008147315,60,1.06E-02
115,1,4,2,5.25,2,1,1,1,0.5,0.5,0,1,0,2,1.121395555,3.951036433,0.287945271,2.35561636,61,3.40E-02
115,2,4,1,5.25,2,3,1,1,7.5,7.5,1,1,1,6,0.757771937,3.587412815,-0.712054729,1.35561636,62,2.77E-03
115,3,2,1,5,2,2,0,0,4,4,1,1,1,4,-1.242228063,1.587412815,-1.094441502,0.973229587,63,-5.22E-02
115,4,2,4,5,1,1,0,1,-6.5,6.5,0,0,1,1,-0.151357208,2.67828367,1.905558498,3.973229587,64,1.96E-02
115,5,3,1,5.5,1,3,1,0,0.5,0.5,1,1,0,3,-0.242228063,2.587412815,-0.903248115,1.164422973,65,5.83E-03
115,6,2,1,5,1,2,0,0,-3,3,0,0,0,2,-1.242228063,1.587412815,-1.094441502,0.973229587,66,3.94E-03
117,1,6,1,5.666666667,2,1,1,1,0.5,0.5,0,1,0,2,1.130807636,7.415226504,-0.282471368,3.949090126,67,-4.15E-02
117,2,7,1,6.25,2,3,1,1,7.5,7.5,1,1,1,6,2.130807636,8.415226504,0.096912317,4.328473811,68,-4.15E-02
117,3,5,1,5.75,2,2,0,0,4,4,1,1,1,4,0.130807636,6.415226504,-0.661855053,3.569706441,69,-4.27E-02
117,4,2,6,1.5,1,1,0,1,-5.5,5.5,0,0,1,1,-0.548950802,5.735468067,3.199993892,7.431555385,70,-5.34E-02
117,5,5,1,6,1,3,1,0,1.5,1.5,1,1,0,3,0.130807636,6.415226504,-0.661855053,3.569706441,71,-9.06E-03
117,6,3,1,4.75,1,2,0,0,-2,2,0,0,0,2,-1.869192364,4.415226504,-1.420622423,2.810939071,72,-5.19E-02
119,1,6,1,7.75,2,1,1,1,-3.5,3.5,0,0,1,2,1.220976183,7.313926613,-0.301859856,3.040769506,73,-4.27E-02
119,2,7,1,5.75,2,3,1,1,3.5,3.5,1,1,1,6,2.220976183,8.313926613,0.000214737,3.342844099,74,-3.53E-02
119,3,5,1,6.5,2,2,1,0,0,0,1,0,0,4,0.220976183,6.313926613,-0.603934448,2.738694914,75,-4.94E-02
119,4,3,5,5.25,1,1,0,1,-6.5,6.5,0,0,1,1,0.054906748,6.147857178,2.791916366,6.134545728,76,-7.28E-03
119,5,4,1,5.5,1,3,0,0,0.5,0.5,1,1,0,3,-0.779023817,5.313926613,-0.906009041,2.436620321,77,-7.94E-02
